id,weight_kg,body_mass_percentage,log_date,logged_at,created_at,updated_at,log_date_readable,logged_at_readable,created_at_readable,updated_at_readable
1,100.30,34.60,2025-09-26,2025-09-25 23:42:39.809000+00:00,2025-09-25 23:42:39.692000+00:00,2025-09-25,2025-09-26,2025-09-25 23:42:39,2025-09-25 23:42:39,2025-09-25
2,100.10,34.50,2025-09-25,2025-09-24 23:41:51.850000+00:00,2025-09-24 23:41:51.914000+00:00,2025-09-24,2025-09-25,2025-09-24 23:41:51,2025-09-24 23:41:51,2025-09-24
3,101.40,34.90,2025-09-23,2025-09-22 21:37:58.659000+00:00,2025-09-22 21:37:58.533000+00:00,2025-09-22,2025-09-23,2025-09-22 21:37:58,2025-09-22 21:37:58,2025-09-22
4,101.90,34.70,2025-09-19,2025-09-19 19:17:48.702000+00:00,2025-09-19 19:17:48.498000+00:00,2025-09-19,2025-09-19,2025-09-19 19:17:48,2025-09-19 19:17:48,2025-09-19
5,100.70,34.60,2025-09-18,2025-09-18 14:42:32.058000+00:00,2025-09-18 14:42:31.730000+00:00,2025-09-18,2025-09-18,2025-09-18 14:42:32,2025-09-18 14:42:31,2025-09-18
6,101.40,34.80,2025-09-16,2025-09-16 11:24:16.798000+00:00,2025-09-16 11:24:16.347000+00:00,2025-09-16,2025-09-16,2025-09-16 11:24:16,2025-09-16 11:24:16,2025-09-16
7,100.70,34.70,2025-09-13,2025-09-13 07:11:14.350000+00:00,2025-09-13 07:11:14.509000+00:00,2025-09-13,2025-09-13,2025-09-13 07:11:14,2025-09-13 07:11:14,2025-09-13
8,100.30,34.70,2025-09-12,2025-09-12 15:19:55.206000+00:00,2025-09-12 15:19:56.097000+00:00,2025-09-12,2025-09-12,2025-09-12 15:19:55,2025-09-12 15:19:56,2025-09-12
9,100.10,34.50,2025-09-07,2025-09-07 09:45:24.834000+00:00,2025-09-07 09:45:24.701000+00:00,2025-09-07,2025-09-07,2025-09-07 09:45:24,2025-09-07 09:45:24,2025-09-07
10,101.10,34.80,2025-09-06,2025-09-06 08:22:45.141000+00:00,2025-09-06 08:22:45.376000+00:00,2025-09-06,2025-09-06,2025-09-06 08:22:45,2025-09-06 08:22:45,2025-09-06
11,101.70,34.90,2025-09-05,2025-09-05 10:27:52.535000+00:00,2025-09-05 10:27:52.321000+00:00,2025-09-05,2025-09-05,2025-09-05 10:27:52,2025-09-05 10:27:52,2025-09-05
12,99.65,34.50,2025-09-04,2025-09-04 07:58:40.380000+00:00,2025-09-04 07:58:40.393000+00:00,2025-09-04,2025-09-04,2025-09-04 07:58:40,2025-09-04 07:58:40,2025-09-04
13,100.40,34.40,2025-09-03,2025-09-03 03:59:46.769000+00:00,2025-09-03 03:59:46.929000+00:00,2025-09-03,2025-09-03,2025-09-03 03:59:46,2025-09-03 03:59:46,2025-09-03
14,100.60,34.40,2025-09-02,2025-09-02 04:26:31.982000+00:00,2025-09-02 04:26:31.812000+00:00,2025-09-02,2025-09-02,2025-09-02 04:26:31,2025-09-02 04:26:31,2025-09-02
15,101.30,35.00,2025-09-01,2025-09-01 04:26:45.444000+00:00,2025-09-01 04:26:45.284000+00:00,2025-09-01,2025-09-01,2025-09-01 04:26:45,2025-09-01 04:26:45,2025-09-01
16,99.85,34.40,2025-08-31,2025-08-31 09:32:12.847000+00:00,2025-08-31 09:32:12.819000+00:00,2025-08-31,2025-08-31,2025-08-31 09:32:12,2025-08-31 09:32:12,2025-08-31
17,99.95,34.50,2025-08-30,2025-08-30 07:56:02.170000+00:00,2025-08-30 07:56:02.369000+00:00,2025-08-30,2025-08-30,2025-08-30 07:56:02,2025-08-30 07:56:02,2025-08-30
18,100.60,34.50,2025-08-29,2025-08-29 08:13:30.058000+00:00,2025-08-29 08:13:30.242000+00:00,2025-08-29,2025-08-29,2025-08-29 08:13:30,2025-08-29 08:13:30,2025-08-29
19,99.50,34.00,2025-08-28,2025-08-28 04:41:59.473000+00:00,2025-08-28 04:41:59.708000+00:00,2025-08-28,2025-08-28,2025-08-28 04:41:59,2025-08-28 04:41:59,2025-08-28
20,99.65,34.00,2025-08-27,2025-08-27 11:16:27.623000+00:00,2025-08-27 11:16:28.283000+00:00,2025-08-27,2025-08-27,2025-08-27 11:16:27,2025-08-27 11:16:28,2025-08-27
21,99.35,34.30,2025-08-22,2025-08-22 07:05:26.521000+00:00,2025-08-22 07:05:26.557000+00:00,2025-08-22,2025-08-22,2025-08-22 07:05:26,2025-08-22 07:05:26,2025-08-22
22,98.75,34.10,2025-08-21,2025-08-21 08:42:44.638000+00:00,2025-08-21 08:42:44.377000+00:00,2025-08-21,2025-08-21,2025-08-21 08:42:44,2025-08-21 08:42:44,2025-08-21
23,99.75,34.20,2025-08-16,2025-08-16 08:03:19.660000+00:00,2025-08-16 08:03:19.671000+00:00,2025-08-16,2025-08-16,2025-08-16 08:03:19,2025-08-16 08:03:19,2025-08-16
24,98.10,33.80,2025-08-14,2025-08-14 04:40:33.868000+00:00,2025-08-14 04:40:33.859000+00:00,2025-08-14,2025-08-14,2025-08-14 04:40:33,2025-08-14 04:40:33,2025-08-14
25,98.90,33.90,2025-08-13,2025-08-13 07:20:50.075000+00:00,2025-08-13 07:20:50.298000+00:00,2025-08-13,2025-08-13,2025-08-13 07:20:50,2025-08-13 07:20:50,2025-08-13
26,98.75,34.10,2025-08-11,2025-08-11 05:55:49.685000+00:00,2025-08-11 05:55:49.731000+00:00,2025-08-11,2025-08-11,2025-08-11 05:55:49,2025-08-11 05:55:49,2025-08-11
27,98.40,34.10,2025-08-10,2025-08-10 04:41:26.478000+00:00,2025-08-10 04:41:26.028000+00:00,2025-08-10,2025-08-10,2025-08-10 04:41:26,2025-08-10 04:41:26,2025-08-10
28,99.55,34.00,2025-08-09,2025-08-09 05:55:09.430000+00:00,2025-08-09 05:55:09.144000+00:00,2025-08-09,2025-08-09,2025-08-09 05:55:09,2025-08-09 05:55:09,2025-08-09
29,99.25,34.20,2025-08-03,2025-08-03 08:22:45.177000+00:00,2025-08-03 08:22:45.865000+00:00,2025-08-03,2025-08-03,2025-08-03 08:22:45,2025-08-03 08:22:45,2025-08-03
30,100.10,34.40,2025-08-02,2025-08-02 06:18:01.719000+00:00,2025-08-02 06:18:02.204000+00:00,2025-08-02,2025-08-02,2025-08-02 06:18:01,2025-08-02 06:18:02,2025-08-02
31,100.50,34.40,2025-08-01,2025-08-01 19:45:35.027000+00:00,2025-08-01 19:45:36.663000+00:00,2025-08-01,2025-08-01,2025-08-01 19:45:35,2025-08-01 19:45:36,2025-08-01
32,98.70,34.00,2025-07-31,2025-07-31 18:13:21.138000+00:00,2025-07-31 18:13:21.401000+00:00,2025-07-31,2025-07-31,2025-07-31 18:13:21,2025-07-31 18:13:21,2025-07-31
33,99.80,34.40,2025-07-30,2025-07-30 15:32:08.651000+00:00,2025-07-30 15:32:10.419000+00:00,2025-07-30,2025-07-30,2025-07-30 15:32:08,2025-07-30 15:32:10,2025-07-30
34,98.75,34.00,2025-07-29,2025-07-29 11:53:06.941000+00:00,2025-07-29 11:53:07.413000+00:00,2025-07-29,2025-07-29,2025-07-29 11:53:06,2025-07-29 11:53:07,2025-07-29
35,99.45,34.10,2025-07-28,2025-07-28 12:12:13.830000+00:00,2025-07-28 12:12:17.269000+00:00,2025-07-28,2025-07-28,2025-07-28 12:12:13,2025-07-28 12:12:17,2025-07-28
36,99.85,34.30,2025-07-27,2025-07-27 14:52:00.001000+00:00,2025-07-27 14:52:00.001000+00:00,2025-07-27,2025-07-27,2025-07-27 14:52:00,2025-07-27 14:52:00,2025-07-27
37,101.60,34.90,2025-09-27,2025-09-27 05:16:12.669000+00:00,2025-09-27 05:16:12.447000+00:00,2025-09-27,2025-09-27,2025-09-27 05:16:12,2025-09-27 05:16:12,2025-09-27
38,101.70,34.80,2025-10-01,2025-10-01 05:56:49.050000+00:00,2025-10-01 05:56:49.125000+00:00,2025-10-01,2025-10-01,2025-10-01 05:56:49,2025-10-01 05:56:49,2025-10-01
39,100.90,34.70,2025-10-02,2025-10-02 03:55:16.375000+00:00,2025-10-02 03:55:16.317000+00:00,2025-10-02,2025-10-02,2025-10-02 03:55:16,2025-10-02 03:55:16,2025-10-02
40,100.50,34.70,2025-10-03,2025-10-03 03:37:02.324000+00:00,2025-10-03 03:37:02.059000+00:00,2025-10-03,2025-10-03,2025-10-03 03:37:02,2025-10-03 03:37:02,2025-10-03
41,99.65,34.50,2025-10-04,2025-10-04 06:51:31.475000+00:00,2025-10-04 06:51:31.047000+00:00,2025-10-04,2025-10-04,2025-10-04 06:51:31,2025-10-04 06:51:31,2025-10-04
42,99.40,34.30,2025-10-05,2025-10-05 06:13:24.743000+00:00,2025-10-05 06:13:25.024000+00:00,2025-10-05,2025-10-05,2025-10-05 06:13:24,2025-10-05 06:13:25,2025-10-05
43,100.60,34.30,2025-10-06,2025-10-06 04:19:59.009000+00:00,2025-10-06 04:19:58.774000+00:00,2025-10-06,2025-10-06,2025-10-06 04:19:59,2025-10-06 04:19:58,2025-10-06
44,100.40,34.60,2025-10-07,2025-10-07 05:06:14.196000+00:00,2025-10-07 05:06:13.793000+00:00,2025-10-07,2025-10-07,2025-10-07 05:06:14,2025-10-07 05:06:13,2025-10-07
45,101.60,35.00,2025-10-10,2025-10-10 04:42:15.067000+00:00,2025-10-10 04:42:14.839000+00:00,2025-10-10,2025-10-10,2025-10-10 04:42:15,2025-10-10 04:42:14,2025-10-10
46,100.60,34.70,2025-10-11,2025-10-11 08:36:33.532000+00:00,2025-10-11 08:36:33.667000+00:00,2025-10-11,2025-10-11,2025-10-11 08:36:33,2025-10-11 08:36:33,2025-10-11
47,101.50,35.00,2025-10-13,2025-10-13 08:21:32.749000+00:00,2025-10-13 08:21:32.562000+00:00,2025-10-13,2025-10-13,2025-10-13 08:21:32,2025-10-13 08:21:32,2025-10-13
48,101.40,34.70,2025-10-15,2025-10-15 01:26:23.298000+00:00,2025-10-15 01:26:23.307000+00:00,2025-10-15,2025-10-15,2025-10-15 01:26:23,2025-10-15 01:26:23,2025-10-15
49,100.70,34.70,2025-10-16,2025-10-16 04:27:10.202000+00:00,2025-10-16 04:27:10.064000+00:00,2025-10-16,2025-10-16,2025-10-16 04:27:10,2025-10-16 04:27:10,2025-10-16
50,101.40,34.90,2025-10-17,2025-10-17 07:49:29.779000+00:00,2025-10-17 07:49:29.892000+00:00,2025-10-17,2025-10-17,2025-10-17 07:49:29,2025-10-17 07:49:29,2025-10-17
52,100.50,34.70,2025-10-18,2025-10-18 09:43:02.745000+00:00,2025-10-18 09:43:02.768000+00:00,2025-10-18,2025-10-18,2025-10-18 09:43:02,2025-10-18 09:43:02,2025-10-18
53,100.60,34.80,2025-10-19,2025-10-19 09:43:44.738000+00:00,2025-10-19 09:43:44.623000+00:00,2025-10-19,2025-10-19,2025-10-19 09:43:44,2025-10-19 09:43:44,2025-10-19
54,100.30,34.80,2025-10-21,2025-10-21 02:58:46.203000+00:00,2025-10-21 02:58:45.833000+00:00,2025-10-21,2025-10-21,2025-10-21 02:58:46,2025-10-21 02:58:45,2025-10-21
55,99.45,34.30,2025-10-22,2025-10-22 03:46:06.371000+00:00,2025-10-22 03:46:06.347000+00:00,2025-10-22,2025-10-22,2025-10-22 03:46:06,2025-10-22 03:46:06,2025-10-22
56,99.45,34.50,2025-10-23,2025-10-23 07:06:43.460000+00:00,2025-10-23 07:06:43.172000+00:00,2025-10-23,2025-10-23,2025-10-23 07:06:43,2025-10-23 07:06:43,2025-10-23
57,99.65,35.00,2025-10-24,2025-10-24 02:29:03.224000+00:00,2025-10-24 02:29:02.824000+00:00,2025-10-24,2025-10-24,2025-10-24 02:29:03,2025-10-24 02:29:02,2025-10-24
